N°,Taxon,Famille,Nom vernaculaire,Partie utilisée,Mode de préparation,Mode d’administration,Maladie ou symptôme,Nombre de citation
48,Spondias monbin L.,Anacardiaceae,Mungengue,Feuille,Manger,Voie orale,Mastites,12 (37.5%)
49,Senna siamea (L.),Fabaceae,Acassia,Racines,Décoction,Voie orale,Typhoïde,3 (9.4%)
50,Carica papaya L.,Caricaceae,Papayer male,Racines,Décoction,Voie orale,Asthénie sexuelle,6 (18.7%)
51,Curculigo pilosa (Schum. & Thomn.) Engl.,Hypoxidaceae,Ba dia nseke,Racines (tubercule),Contusion,Voie cutanée,Panaris,5 (15.6%)
52,Millettia versicolor Welw. Ex Back,Fabaceae,Loubota,Racines, Feuilles,Décoction,Voie orale, Voie rectale,Asthénie sexuelle, Constipation, Rate,12 (37.5%)
53,Gardenia ternifolia Schum. Thonn,Rubiaceae,kilembe nzau,Racines, Feuilles,Décoction,Voie orale,Asthénie sexuelle, Gencivite,9 (28.1%)
54,Zingiber officinale Rosc.,Zingiberaceae,Tangawiss,Tige,Contusion,Voie orale,Hémorroïde,1 (3.1%)
55,Aframomum melegueta (Roscoe) K. Schum,Zingiberaceae,Nungu zinzo,Graines,Contusion,Voie orale,Hémorroïde,1 (3.1%)
56,Mangifera indica L.,Anacardiaceae,Manguier ya ba Kongo,Ecorce,Contusion /filtrat,Voie orale,Hémorroïde,14 (43.8%)
57,Bridelia ferruginea Benth.,Phyllanthaceae,Kihala,Ecorce,Décoction,Bain de siège,Règle douloureuse,14 (43.8%)
58,Ficus sp.,Moraceae,Kikuyu-kuyu,Feuille,Décoction,Voie orale,Anémie,6 (18.7%)
59,Ceiba pentandra (L.),Malvaceae,Fromagé,Jeunes feuilles,Contusion,Voie orale,Vomissement,9 (28.1%)
60,Costus lucanusianus / C. sp.,Costaceae,Minkuissa,Plante entière,Pulpation,Voie orale, voie cutanée,Varicelle,22 (68.7%)
61,Ananas comosus (L.) Merr.,Bromeliaceae,Fubu,Feuilles,Décoction,Voie orale,Asthme,8 (25%)
62,Cymbopogon citratus L.,Poaceae,Citronnelle,Feuilles,Décoction,Voie orale,Toux,18 (56.2%)
63,Eriosema psoraloides (Lam.) G. Don,Fabaceae,Lukassa lua kambi ya mbakala,Feuilles,Trituration,Conjonctivite,1 (3.1%)
64,Desmodium ramossissimum G. Don,Fabaceae,Mundanda nzila,Feuilles,Trituration,Application locale,Cicatrisation,1 (3.1%)
65,Abrus precatorius L.,Fabaceae,Ngéngélé kuma,Feuilles,Mâcher,Voie orale,Toux,8 (25%)
66,Nicotiana tabacum L.,Solanaceae,Tabac,Feuilles sèches,Contusion,Voie orale,Carie dentaire,1 (3.1%)
67,Leonotis nepetaefolia Var. africana J.K.Morton,Verbenaceae / Lamiaceae,Malamu ma songui,Feuilles,Trituration,Voie nasale,Maux de tête,7 (21.9%)
68,Titonia diversifolia (Hem.) A. Gray,Asteraceae,Nduri-nduri,Feuilles,Contusion/ filtrat,Voie cutanée, Voie orale,Ascaridiose,6 (18.7%)
69,Crossopterix febrifuga Benth.,Verbenaceae / Lamiaceae,Mukakati,Ecorce,Décoction,Voie orale,Diarrhée amibienne,13 (40.6%)
70,Brillantaisia patula T. Anders.,Acanthaceae,Lemba-lemba,Feuilles,Trituration,Voie orale,Asthme,8 (25%)
71,Alium sativum L.,Alliaceae,Ail,Contusion/ filtrat,Voie cutanée,Varicelle,22 (68.7%)
72,Citrus paradisii Macfad.,Rutaceae,Pamplemousse,Fruits,Succion,Voie orale,Hypotension artérielle,8 (25%)
73,Morinda lucida Benth.,Rubiaceae,Mussiki,Feuilles, Racines,Décoction,Voie orale,Rougeole,5 (15.6%)
74,Pentaclethra macrophylla Benth.,Fabaceae,Mpanzu,Valves,Décoction,Bain de siège,-,3 (9.4%)
75,Millicia excelsa (welw.) C. Berg,Moraceae,Mbuyu,Feuilles,Décoction,Voie orale,Mastite,12 (37.5%)
76,Abrus sp.,"",Nguenga,Feuilles,Contusion,Voie orale,Toux,1 (3.1%)
77,Newbouldia laevis (P.Beauv.) Seem.,Bignoniaceae,Mpéssé-mpéssé,Ecorce,Macération,Voie orale,Estomac,1 (3.1%)
78,Annona senegalensis var. arenaria (Thonn.) Sillans,Annonaceae,Lolo nséké,Feuilles, écorce,Décoction, pilat,Voie orale, application locale,Anémie, hémorragie,7 (21.9%)
79,Psidium guajva L.,Myrtaceae,Goyavier,Feuilles,Décoction,Voie orale,Diarrhée amibienne,13 (40.6%)
80,Crinum cf. zeylanicum,Amaryllidaceae,Halaba,Bulbe,Décoction,Voie orale,Rhumatisme,1 (3.1%)
